year,czone,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,100,5718,111442.523,81346.374,43386.151,0.173,0.067,0.026,0.012,0.464,0.264,0.64,166094.095,171398.23,0,38396.093,52359.847,0.716,0.284,NA,NA,0.13,0.976,0.023,0,0.153,3.646,47.339,1168.871,0.012,0.014,0.009,0.001,0.008,0.35,0.01,0.012,0.022
1960,200,1532,30640,78981.281,39427.106,0.187,0.076,0.034,0.017,0.478,0.254,0.664,166298.745,166818.013,0,33942.795,41693.577,0.691,0.309,NA,NA,0.103,0.966,0.033,0,0.138,3.646,47.118,2252.99,0.022,0.03,0.007,0.008,0.014,0.364,0.018,0.023,0.022
1960,301,2785,15599.156,52218.709,29895.359,0.137,0.037,0.009,0.004,0.48,0.58,0.65,86948.078,118982.749,0,26870.496,27531.921,0.621,0.379,NA,NA,0.076,0.972,0.028,0,0.17,3.903,50.201,1372.667,0.021,0.018,0.013,0.005,0.013,0.449,0.016,0.023,0.018
1960,302,7418,131579.107,78435.801,40363.946,0.165,0.058,0.02,0.008,0.484,0.258,0.652,141584.879,173794.871,0,44163.311,48919.941,0.675,0.325,NA,NA,0.172,0.946,0.053,0,0.159,3.562,46.975,1958.253,0.021,0.021,0.014,0.005,0.013,0.358,0.016,0.021,0.024
1960,401,4873,83340.949,88741.443,46561.526,0.176,0.069,0.024,0.01,0.485,0.253,0.667,179727.699,192760.622,0,47212.478,58855.161,0.651,0.349,NA,NA,0.143,0.849,0.151,0,0.161,3.521,45.455,1510.087,0.014,0.013,0.014,0.006,0.009,0.367,0.011,0.015,0.022
1960,402,1288,19104.349,84754.925,41006.206,0.164,0.05,0.017,0.007,0.48,0.418,0.649,151534.261,190493.657,0,43641.147,51570.34,0.7,0.3,NA,NA,0.081,0.846,0.154,0,0.106,3.823,46.091,2449.284,0.026,0.027,0.016,0.006,0.015,0.438,0.018,0.029,0.029
1960,500,9409,181377.459,86074.43,41641.581,0.195,0.071,0.026,0.011,0.511,0.249,0.687,181815.762,185402.76,0,46667.867,52577.71,0.635,0.365,NA,NA,0.149,0.828,0.171,0,0.147,3.573,45.4,1539.567,0.015,0.016,0.012,0.003,0.009,0.372,0.011,0.015,0.025
1960,601,2344,17158.289,83165.287,42164.509,0.189,0.079,0.032,0.013,0.473,0.111,0.654,225082.127,174024.459,0,36671.677,46046.158,0.741,0.259,NA,NA,0.098,0.971,0.029,0,0.133,3.696,47.828,1889.222,0.018,0.015,0.006,0.003,0.012,0.002,0.015,0.019,0.014
1960,602,3307,13620.89,65857.414,35074.354,0.134,0.046,0.018,0.006,0.455,0.264,0.627,119752.638,151213.302,0,33916.167,39527.101,0.694,0.306,NA,NA,0.083,0.967,0.033,0,0.134,3.808,47.363,1143.713,0.014,0.013,0.007,0.004,0.009,0.35,0.011,0.015,0.018
1960,700,5365,62501.049,65864.129,33252.295,0.215,0.084,0.035,0.014,0.539,0.075,0.714,198712.954,135881.887,-1752.892,40347.749,38367.538,0.598,0.402,NA,NA,0.117,0.82,0.18,0,0.166,3.664,46.838,454.09,0.005,0.006,0.003,0.001,0.003,0.001,0.004,0.005,0.016
1960,800,4110,72006.358,63158.476,35723.982,0.144,0.039,0.017,0.01,0.483,0.417,0.648,106813.486,141290.744,0,40011.882,41317.397,0.627,0.373,NA,NA,0.1,0.882,0.118,0,0.146,3.641,45.944,2200.416,0.029,0.024,0.009,0.003,0.017,0.445,0.022,0.028,0.024
1960,900,11355,184053.604,83171.602,37917.411,0.204,0.079,0.032,0.013,0.541,0.068,0.722,282809.616,176679.619,-2158.816,46818.955,53253.112,0.604,0.396,NA,NA,0.158,0.782,0.218,0,0.172,3.668,45.967,1302.603,0.013,0.009,0.003,0.001,0.007,0.001,0.009,0.013,0.021
1960,1001,2481,10537.226,81274.372,47630.607,0.147,0.07,0.03,0.012,0.419,0.127,0.609,225733.815,171289.556,0,28841.287,46113.96,0.779,0.221,NA,NA,0.11,0.986,0.013,0,0.148,3.662,48.683,2519.28,0.026,0.027,0.012,0.005,0.018,0.004,0.021,0.027,0.012
1960,1002,4509,27922.062,73644.507,38364.929,0.174,0.075,0.031,0.012,0.473,0.111,0.646,185875.411,155961.49,0,36041.371,45330.526,0.72,0.28,NA,NA,0.101,0.924,0.076,0,0.136,3.683,46.797,1386.808,0.016,0.013,0.006,0.002,0.01,0.002,0.012,0.016,0.016
1960,1100,3364,53706.625,83848.836,39992.158,0.227,0.094,0.038,0.015,0.522,0.099,0.697,270213.654,161920.775,0,43125.262,51597.271,0.705,0.295,NA,NA,0.111,0.916,0.084,0,0.139,3.634,45.396,2516.923,0.023,0.015,0.006,0.003,0.014,0.003,0.018,0.024,0.019
1960,1201,2394,5893.357,73180.025,38073.317,0.158,0.058,0.025,0.013,0.467,0.264,0.634,136243.248,162645.72,0,32666.519,45630.219,0.711,0.289,NA,NA,0.094,0.968,0.019,0,0.138,3.659,48.54,894.808,0.01,0.013,0.002,0.005,0.006,0.349,0.008,0.011,0.018
1960,1202,1456,8700.556,75273.442,39095.131,0.18,0.064,0.031,0.016,0.48,0.265,0.643,152711.29,155136.193,0,34238.455,46922.346,0.721,0.279,NA,NA,0.1,0.959,0.019,0,0.139,3.635,48.828,1342.263,0.014,0.019,0.002,0.008,0.009,0.347,0.012,0.012,0.02
1960,1203,4262,66718.723,85416.215,40070.716,0.177,0.064,0.026,0.013,0.504,0.252,0.674,172105.119,184658.896,0,40774.035,53181.258,0.674,0.326,NA,NA,0.139,0.934,0.058,0,0.171,3.475,48.367,1900.116,0.018,0.018,0.007,0.003,0.011,0.368,0.014,0.019,0.025
1960,1204,2394,8660.722,73162.666,38039.901,0.158,0.058,0.025,0.013,0.467,0.264,0.634,136098.256,163479.627,0,32653.484,45619.504,0.711,0.289,NA,NA,0.094,0.968,0.019,0,0.138,3.659,48.54,893.173,0.01,0.013,0.002,0.005,0.006,0.349,0.008,0.011,0.018
1960,1301,2845,14729.087,58127.747,29705.898,0.143,0.039,0.018,0.012,0.509,0.588,0.697,104021.869,139799.36,-2900.745,31425.496,33042.757,0.533,0.467,NA,NA,0.094,0.647,0.352,0,0.2,4.174,46.907,1730.723,0.025,0.024,0.008,0.002,0.014,0.489,0.018,0.024,0.018
1960,1302,4596,79122.47,69880.022,29443.172,0.158,0.055,0.02,0.008,0.524,0.224,0.725,139711.27,181811.722,-3316.342,30927.281,36904.765,0.511,0.489,NA,NA,0.108,0.597,0.402,0,0.203,4.297,46.207,1796.533,0.021,0.016,0.012,0.005,0.012,0.411,0.016,0.022,0.016
1960,1400,5787,86715.004,59657.749,27509.465,0.158,0.051,0.018,0.011,0.528,0.23,0.712,123084.434,145886.86,-2451.64,33951.895,34306.602,0.516,0.484,NA,NA,0.122,0.718,0.236,0,0.16,3.946,45.043,1282.501,0.017,0.017,0.012,0.004,0.01,0.401,0.013,0.019,0.016
1960,1500,2415,48300,75909.302,36250.994,0.149,0.05,0.015,0.006,0.485,0.413,0.677,132079.08,185122.136,-2749.414,33900.997,39271.593,0.63,0.37,NA,NA,0.1,0.703,0.289,0,0.198,3.793,46.861,2678.355,0.029,0.02,0.015,0.006,0.018,0.47,0.022,0.025,0.024
1960,1600,3025,42558.617,73318.999,22689.324,0.208,0.076,0.032,0.013,0.585,0.015,0.779,175443.785,178307.947,-3671.426,33238.642,37148.334,0.436,0.564,NA,NA,0.118,0.638,0.362,0,0.183,3.935,46.031,2034.375,0.02,0.016,0.005,0.002,0.011,0,0.015,0.019,0.017
1960,1701,9253,149733.883,87027.429,34930.478,0.21,0.079,0.032,0.013,0.551,0.045,0.743,221908.618,201314.44,-3252.31,42270.41,48430.552,0.537,0.463,NA,NA,0.181,0.742,0.256,0,0.163,3.671,46.153,1352.006,0.012,0.011,0.004,0.002,0.007,0.001,0.009,0.014,0.019
1960,1702,1005,12248.66,67565.92,29820.634,0.119,0.032,0.009,0.004,0.477,0.591,0.697,107349.441,190726.544,-3444.796,31008.446,34601.016,0.479,0.521,NA,NA,0.119,0.585,0.409,0,0.165,3.992,48.336,1473.131,0.019,0.021,0.012,0.005,0.011,0.503,0.015,0.02,0.012
1960,1800,2076,41520,67153.481,29674.134,0.177,0.061,0.019,0.008,0.518,0.406,0.727,140854.804,169352.529,-3205.973,28533.055,31823.887,0.493,0.507,NA,NA,0.114,0.687,0.31,0,0.158,3.897,46.223,1514.321,0.017,0.022,0.017,0.007,0.01,0.509,0.014,0.016,0.019
1960,1900,5773,79311.919,66038.604,23869.435,0.211,0.086,0.036,0.015,0.573,0.034,0.764,239073.466,159553.022,-2833.771,35220.242,36058.307,0.472,0.528,NA,NA,0.129,0.7,0.299,0,0.17,3.865,44.583,875.568,0.011,0.011,0.006,0.002,0.006,0,0.008,0.011,0.012
1960,2000,9369,175422.209,79830.27,33633.559,0.231,0.094,0.038,0.015,0.574,0.045,0.76,288499.943,166953.431,-2881.343,45018.834,51926.183,0.528,0.472,NA,NA,0.153,0.718,0.278,0,0.219,3.543,44.009,305.439,0.004,0.003,0.001,0.001,0.002,0,0.002,0.004,0.016
1960,2100,2456,23283.131,66038.283,33925.581,0.159,0.053,0.023,0.011,0.487,0.239,0.687,130654.531,159691.367,-3366.732,27717.781,30498.758,0.583,0.417,NA,NA,0.095,0.648,0.352,0,0.166,3.912,49.171,1116.027,0.014,0.016,0.006,0.003,0.009,0.388,0.011,0.015,0.017
1960,2200,4849,37177.631,75136.028,36845.635,0.142,0.05,0.018,0.007,0.46,0.069,0.675,140281.205,182216.789,-2965.723,30614.12,36681.457,0.583,0.417,NA,NA,0.122,0.681,0.318,0,0.155,3.896,46.333,1306.117,0.015,0.014,0.011,0.004,0.009,0.001,0.012,0.015,0.015
1960,2300,3295,39030.909,79832.216,39780.591,0.142,0.048,0.019,0.008,0.477,0.255,0.651,148166.805,183009.919,0,44161.394,49837.808,0.639,0.361,NA,NA,0.114,0.74,0.259,0,0.164,3.706,48.614,2360.385,0.025,0.017,0.011,0.005,0.015,0.363,0.019,0.024,0.022
1960,2400,12971,164006.677,104433.299,46545.587,0.219,0.088,0.036,0.014,0.544,0.069,0.722,253957.86,219374.66,-1554.169,55194.696,64953.351,0.612,0.388,NA,NA,0.161,0.702,0.297,0,0.179,3.571,47.57,922.109,0.007,0.006,0.002,0.001,0.004,0.001,0.005,0.007,0.019
1960,2500,8933,82559.946,85772.698,39605.845,0.195,0.082,0.034,0.014,0.513,0.068,0.707,230481.119,193529.009,-1895.807,50592.859,57927.436,0.565,0.435,NA,NA,0.144,0.659,0.339,0,0.164,3.643,46.476,973.389,0.009,0.008,0.004,0.002,0.006,0.001,0.007,0.01,0.013
1960,2600,3982,35360.745,66292.786,29861.982,0.176,0.052,0.017,0.008,0.534,0.591,0.729,123138.116,163569.675,-3377.595,29139.438,33366.507,0.515,0.485,NA,NA,0.089,0.565,0.434,0,0.169,4.08,48.419,3292.919,0.042,0.034,0.018,0.006,0.022,0.505,0.03,0.045,0.026
1960,2700,4113,60530.231,71970.047,36453.252,0.156,0.055,0.02,0.008,0.475,0.259,0.647,146883.411,165519.515,0,39917.499,49406.561,0.659,0.341,NA,NA,0.142,0.812,0.187,0,0.156,3.681,46.154,1365.912,0.016,0.012,0.012,0.005,0.01,0.357,0.012,0.016,0.021
1960,2800,2375,27496.689,72984.724,39254.269,0.132,0.053,0.019,0.008,0.448,0.262,0.631,144093.544,171419.451,0,30082.682,44927.059,0.694,0.306,NA,NA,0.104,0.739,0.254,0,0.144,3.833,49.768,1066.645,0.013,0.009,0.011,0.005,0.008,0.354,0.01,0.014,0.015
1960,2900,4128,26835.662,80430.012,38699.093,0.171,0.067,0.032,0.018,0.499,0.255,0.67,174312.149,177761.15,0,35147.162,49523.686,0.686,0.314,NA,NA,0.133,0.689,0.311,0,0.17,3.775,49.615,1833.721,0.018,0.013,0.007,0.014,0.011,0.364,0.014,0.017,0.023
1960,3001,2767,12415.379,60277.208,29665.102,0.144,0.045,0.02,0.012,0.514,0.407,0.714,114703.207,156866.446,-3144.573,26349.955,34106.036,0.523,0.477,NA,NA,0.099,0.555,0.444,0,0.201,3.817,51.014,1870.64,0.025,0.019,0.006,0.006,0.014,0.505,0.019,0.027,0.017
1960,3002,3173,12478.24,61112.381,11861.621,0.22,0.088,0.037,0.015,0.621,0.002,0.811,202337.421,156913.122,-3606.92,27454.356,32085.381,0.416,0.584,NA,NA,0.106,0.423,0.575,0,0.211,4.026,50.203,1603.01,0.02,0.014,0.008,0.003,0.01,0,0.014,0.02,0.011
1960,3003,6018,86208.092,84751.251,39275.459,0.183,0.067,0.027,0.011,0.528,0.063,0.708,177916.136,192068.542,-2387.149,38602.289,54413.746,0.603,0.397,NA,NA,0.175,0.637,0.36,0,0.174,3.81,48.251,2047.55,0.021,0.016,0.007,0.003,0.011,0.002,0.015,0.02,0.022
1960,3101,1877,25589.586,75022,36646.288,0.134,0.032,0.01,0.004,0.487,0.584,0.672,119574.278,180950.714,-2059.294,30738.946,48359.916,0.616,0.384,NA,NA,0.121,0.588,0.411,0,0.194,3.841,49.207,2761.197,0.033,0.03,0.015,0.006,0.018,0.472,0.024,0.033,0.023
1960,3102,2036,9017.346,72644.862,38071.741,0.144,0.045,0.014,0.006,0.473,0.416,0.652,122657.1,162466.911,0,27609.647,43220.871,0.65,0.35,NA,NA,0.112,0.622,0.378,0,0.167,3.881,50.713,1962.388,0.023,0.019,0.013,0.005,0.014,0.452,0.018,0.022,0.022
1960,3201,1516,6621.837,62107.568,33664.368,0.131,0.038,0.022,0.014,0.475,0.418,0.643,102433.607,143870.671,0,27220.584,39603.972,0.669,0.331,NA,NA,0.092,0.73,0.27,0,0.183,3.6,50.036,1548.11,0.021,0.02,0.005,0.007,0.013,0.441,0.016,0.021,0.018
1960,3202,5759,20549.029,70282.658,34663.675,0.139,0.039,0.014,0.007,0.491,0.413,0.672,114828.441,172049.937,-1462.312,29404.382,44597.727,0.624,0.376,NA,NA,0.095,0.632,0.368,0,0.193,3.764,50.126,2269.254,0.027,0.023,0.011,0.003,0.016,0.467,0.02,0.029,0.021
1960,3203,5868,20107.739,64852.207,29853.873,0.16,0.053,0.022,0.013,0.533,0.407,0.724,126976.788,162763.887,-2869.235,28171.7,37645.74,0.532,0.468,NA,NA,0.098,0.57,0.43,0,0.195,3.845,50.755,2257.278,0.028,0.019,0.007,0.004,0.016,0.504,0.021,0.028,0.02
1960,3300,13406,268120,98849.017,26456.393,0.266,0.111,0.045,0.018,0.622,0.021,0.807,309271.192,212488.751,-3557.479,49547.628,62742.768,0.448,0.552,NA,NA,0.169,0.716,0.282,0,0.198,3.497,45.852,1669.78,0.011,0.01,0.004,0.002,0.006,0,0.009,0.011,0.011
1960,3400,2551,44013.181,90192.427,36545.929,0.21,0.085,0.036,0.015,0.55,0.074,0.726,272643.905,191491.521,0,42894.54,57292.379,0.629,0.371,NA,NA,0.085,0.779,0.212,0,0.143,4.027,44.938,1698.726,0.016,0.014,0.007,0.003,0.008,0.001,0.011,0.015,0.019
1960,3500,5631,112620,99839.993,42449.399,0.207,0.076,0.031,0.012,0.546,0.064,0.721,214771.272,220763.551,-1217.106,45565.233,69939.409,0.633,0.367,NA,NA,0.194,0.676,0.324,0,0.171,3.766,46.081,2116.869,0.016,0.017,0.007,0.003,0.01,0.001,0.013,0.017,0.024
1960,3600,2952,42525.25,73974.55,35033.15,0.185,0.069,0.031,0.013,0.523,0.073,0.702,195994.1,160305.146,0,34578.287,51602.255,0.63,0.37,NA,NA,0.125,0.72,0.279,0,0.189,3.577,48.383,2030.162,0.021,0.017,0.008,0.003,0.013,0.002,0.017,0.021,0.019
1960,3700,3176,63520,83987.655,39073.107,0.172,0.059,0.024,0.011,0.51,0.253,0.671,153282.614,189663.022,0,42249.094,60983.586,0.685,0.315,NA,NA,0.152,0.816,0.183,0,0.149,3.646,45.17,2750.801,0.026,0.02,0.008,0.003,0.016,0.365,0.02,0.026,0.028
1960,3800,5201,92246.819,97208.238,36587.518,0.231,0.096,0.039,0.016,0.578,0.059,0.754,295683.676,208175.249,-2147.265,38164.477,58140.796,0.625,0.375,NA,NA,0.117,0.754,0.245,0,0.171,3.851,46.142,942.772,0.007,0.006,0.003,0.001,0.004,0.001,0.005,0.006,0.017
1960,3901,3746,56119.479,72136.203,33498.809,0.183,0.06,0.027,0.013,0.532,0.235,0.711,151016.261,162981.358,-1926.837,34174.852,48251.933,0.596,0.404,NA,NA,0.113,0.639,0.361,0,0.203,3.71,49.241,1821.811,0.021,0.022,0.006,0.004,0.012,0.393,0.015,0.024,0.022
1960,3902,2366,7400.904,66583.309,31312.564,0.15,0.04,0.018,0.011,0.522,0.587,0.704,116278.336,172285.871,-1992.769,28147.704,38941.873,0.577,0.423,NA,NA,0.077,0.604,0.396,0,0.199,3.807,50.914,2417.71,0.029,0.029,0.01,0.001,0.017,0.487,0.022,0.031,0.021
1960,4001,3083,10754.326,72320.335,35744.139,0.164,0.06,0.026,0.013,0.506,0.255,0.67,144448.181,167079.699,0,34343.679,39940.372,0.66,0.34,NA,NA,0.13,0.708,0.291,0,0.187,3.368,50.761,1789.31,0.02,0.014,0.004,0.006,0.012,0.362,0.015,0.02,0.022
1960,4002,6524,118058.57,92528.931,37107.639,0.233,0.097,0.04,0.016,0.578,0.059,0.753,291175.255,190266.984,0,43695.702,57794.855,0.609,0.391,NA,NA,0.173,0.662,0.338,0,0.206,3.5,47.801,1412.942,0.012,0.01,0.005,0.002,0.006,0.001,0.008,0.012,0.017
1960,4003,5901,15965.684,66397.994,32834.774,0.158,0.052,0.019,0.008,0.511,0.244,0.684,121230.336,160581.069,0,28811.259,40706.47,0.626,0.374,NA,NA,0.096,0.636,0.364,0,0.201,3.682,51.077,1824.235,0.023,0.018,0.012,0.005,0.013,0.379,0.017,0.024,0.02
1960,4004,2019,4895.888,68774.728,33199.908,0.174,0.06,0.022,0.009,0.522,0.244,0.693,133239.046,160884.27,0,30090.834,42303.187,0.628,0.372,NA,NA,0.122,0.602,0.398,0,0.216,3.596,52.051,2004.749,0.023,0.019,0.013,0.005,0.013,0.38,0.018,0.026,0.022
1960,4101,1488,6288.878,60167.006,32193.609,0.136,0.035,0.02,0.014,0.502,0.584,0.679,101737.432,144188.52,-1118.83,26896.39,30783.887,0.571,0.429,NA,NA,0.093,0.616,0.384,0,0.175,3.69,50.796,2036.472,0.026,0.027,0.006,0.004,0.016,0.469,0.02,0.027,0.02
1960,4102,3030,45675.148,67904.766,33349.544,0.156,0.053,0.02,0.01,0.524,0.412,0.696,122519.543,160596.933,-2029.199,31378.978,36384.486,0.571,0.429,NA,NA,0.117,0.643,0.356,0,0.177,3.603,50.16,2613.186,0.032,0.023,0.011,0.003,0.018,0.474,0.023,0.03,0.024
1960,4103,1775,27946.321,76000.759,35990.551,0.175,0.066,0.03,0.016,0.52,0.254,0.681,160082.555,174198.353,0,36793.922,43060.779,0.66,0.34,NA,NA,0.15,0.694,0.305,0,0.184,3.394,49.991,1864.138,0.021,0.014,0.002,0.009,0.011,0.364,0.015,0.02,0.024
1960,4200,6959,97196.42,81433.515,37600.447,0.186,0.07,0.029,0.012,0.515,0.069,0.699,172569.278,183583.849,-1998.618,42265.392,52040.759,0.598,0.402,NA,NA,0.173,0.81,0.189,0,0.18,3.382,48.132,1315.511,0.013,0.013,0.005,0.002,0.008,0.001,0.01,0.014,0.02
1960,4301,2874,13989.167,70651.213,33971.159,0.143,0.044,0.018,0.009,0.516,0.411,0.696,121695.776,176512.587,-2570.801,32109.469,36537.501,0.557,0.443,NA,NA,0.115,0.739,0.261,0,0.173,3.533,49.7,2634.986,0.031,0.024,0.01,0.003,0.017,0.481,0.023,0.03,0.021
1960,4302,1332,19023.648,66105.374,33092.563,0.116,0.03,0.014,0.011,0.494,0.764,0.684,102840.183,179986.527,-2561.285,28755.947,31711.934,0.545,0.455,NA,NA,0.087,0.818,0.182,0,0.164,3.548,49.878,2449.192,0.029,0.022,0.008,0,0.017,0.397,0.022,0.035,0.018
1960,4401,2545,23728.563,54706.507,30440.586,0.124,0.029,0.007,0.003,0.473,0.581,0.647,86869.407,128909.917,0,25698.661,29292.514,0.625,0.375,NA,NA,0.075,0.971,0.029,0,0.166,3.959,50.266,1484.306,0.021,0.02,0.012,0.005,0.013,0.45,0.017,0.025,0.017
