year,puma,statefip,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,cntygp97,cntygp98,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,1,1,1456,29120,90696.673,43315.846,0.241,0.112,0.045,0.018,0.53,0.079,0.733,333003.498,186529.612,0,45521.584,59285.915,0.657,0.343,NA,NA,NA,NA,0.148,0.865,0.133,0,0.159,3.631,46.126,6913.362,0.057,0.038,0.015,0.006,0.036,0.006,0.045,0.059,0.01
1960,2,1,1048,20960,79023.74,35202.512,0.163,0.058,0.013,0.005,0.483,0.583,0.676,139718.781,177580.889,-1239.714,28904.52,41589.606,0.628,0.372,NA,NA,NA,NA,0.068,0.965,0.035,0,0.132,3.692,47.443,3145.735,0.033,0.023,0.019,0.007,0.02,0.468,0.024,0.028,0.03
1960,3,1,1475,29500,75965.306,37526.027,0.129,0.039,0.018,0.012,0.448,0.583,0.65,113692.642,176369.248,-2388.717,32208.558,44939.803,0.633,0.367,NA,NA,NA,NA,0.075,0.988,0.012,0,0.121,3.582,47.306,2936.639,0.034,0.023,0.008,0.002,0.021,0.467,0.025,0.033,0.024
1960,4,1,1128,22560,67955.985,38137.647,0.113,0.028,0.008,0.003,0.432,0.583,0.634,97482.464,163390.74,-2674.422,37009.178,49625.524,0.606,0.394,NA,NA,NA,NA,0.133,0.863,0.137,0,0.139,3.688,46.395,1643.116,0.018,0.019,0.011,0.004,0.013,0.462,0.015,0.021,0.016
1960,5,1,1545,30900,59524.369,31912.899,0.154,0.074,0.034,0.014,0.485,0.071,0.708,309237.297,142733.402,-2170.869,29719.056,34175.479,0.588,0.412,NA,NA,NA,NA,0.083,0.779,0.221,0,0.159,3.689,50.088,2385.956,0.033,0.034,0.018,0.007,0.02,0.003,0.025,0.034,0.01
1960,7,1,1328,26560,72300.767,36454.605,0.17,0.045,0.026,0.018,0.509,0.581,0.676,128737.28,160469.264,0,41136.826,49760.792,0.632,0.368,NA,NA,NA,NA,0.114,0.864,0.136,0,0.17,3.572,47.097,3447.919,0.036,0.035,0.008,0.004,0.023,0.46,0.028,0.036,0.032
1960,8,1,1601,32020,58709.959,32782.066,0.126,0.03,0.009,0.004,0.464,0.582,0.649,90221.556,142859.397,-1908.943,32470.48,38440.673,0.6,0.4,NA,NA,NA,NA,0.086,0.806,0.194,0,0.161,3.76,48.231,1506.881,0.02,0.025,0.013,0.005,0.014,0.459,0.017,0.023,0.017
1960,9,1,1244,24880,66130.091,33930.927,0.171,0.041,0.022,0.014,0.502,0.58,0.669,114196.966,143805.804,0,41017.286,47940.327,0.609,0.391,NA,NA,NA,NA,0.157,0.837,0.162,0,0.16,3.631,44.951,2893.384,0.033,0.038,0.011,0,0.021,0.457,0.027,0.035,0.029
1960,11,1,1331,26620,92437.36,31609.475,0.286,0.112,0.047,0.024,0.634,0.222,0.798,271876.581,186344.51,-2532.312,49225.224,49926.989,0.539,0.461,NA,NA,NA,NA,0.219,0.722,0.278,0,0.191,3.589,45.024,5052.79,0.03,0.024,0.007,0.009,0.02,0.413,0.028,0.032,0.024
1960,12,1,1799,35980,56115.658,18501.909,0.178,0.047,0.021,0.013,0.591,0.596,0.768,111580.145,134862.167,-3003.265,26992.732,30044.972,0.449,0.551,NA,NA,NA,NA,0.113,0.449,0.551,0,0.233,4.008,49.994,3575.413,0.048,0.037,0.014,0.003,0.024,0.532,0.033,0.048,0.024
