DATE,GDPC1
1980-01-01,7257.3165000000000000
1981-01-01,7441.4850000000000000
1982-01-01,7307.3140000000000000
1983-01-01,7642.2655000000000000
1984-01-01,8195.2952500000000000
1985-01-01,8537.0037500000000000
1986-01-01,8832.6112500000000000
1987-01-01,9137.7447500000000000
1988-01-01,9519.4267500000000000
1989-01-01,9869.0032500000000000
1990-01-01,10055.1285000000000000
1991-01-01,10044.2375000000000000
1992-01-01,10398.0462500000000000
1993-01-01,10684.1787500000000000
1994-01-01,11114.6462500000000000
1995-01-01,11413.0122500000000000
1996-01-01,11843.5990000000000000
1997-01-01,12370.2995000000000000
1998-01-01,12924.875750000000
1999-01-01,13543.774000000000
2000-01-01,14096.033000000000
2001-01-01,14230.726000000000
2002-01-01,14472.711500000000
2003-01-01,14877.312500000000
2004-01-01,15449.757250000000
2005-01-01,15987.957500000000
2006-01-01,16433.147500000000
2007-01-01,16762.445500000000
2008-01-01,16781.484750000000
2009-01-01,16349.110500000000
2010-01-01,16789.750500000000
2011-01-01,17052.410500000000
2012-01-01,17442.759250000000
2013-01-01,17812.167000000000
2014-01-01,18261.714250000000
2015-01-01,18799.622000000000
2016-01-01,19141.672250000000
2017-01-01,19612.102500000000
2018-01-01,20193.895250000000
2019-01-01,20692.086750000000
2020-01-01,20234.074000000000
2021-01-01,21407.692500000000
2022-01-01,21822.036500000000
2023-01-01,22376.906500000000
