"Productive capacity"
"https://www.eia.gov/coal/data/browser/#/topic/30?agg=0,1&mntp=g&geo=1001qag9vvlpg&freq=A&start=2001&end=2022&ctype=columnchart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Nov 28 2023 14:10:16 GMT+0000 (Greenwich Mean Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Productive capacity","short tons",,,,,,,,,,,,,,,,,,,,,,,
"Total",,"COAL.PRODUCTIVE_CAP.TOT-US.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Middle Atlantic",,"COAL.PRODUCTIVE_CAP.TOT-MAT.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Pennsylvania","short tons","COAL.PRODUCTIVE_CAP.TOT-PA.A",87606266,86919922,77823674,76545717,79846196,75972950,75020402,75426888,70171640,69052705,68518441,63863620,65640227,67612749,61849273,56818139,59486625,61433468,55904344,42300479,51239086,49286137
"Total : East North Central",,"COAL.PRODUCTIVE_CAP.TOT-ENC.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Illinois","short tons","COAL.PRODUCTIVE_CAP.TOT-IL.A",40436084,47282734,38825624,35666655,40161615,43473226,44639210,43128686,46337486,47866361,55107922,70156949,70132055,76344003,77364927,63691413,57105143,55649157,67415386,57010626,44310150,45225313
"Total : Indiana","short tons","COAL.PRODUCTIVE_CAP.TOT-IN.A",42537698,42928728,44165068,38864214,39089284,39943668,41390126,44906971,46613736,45266687,46573236,44932587,47435547,49403928,45531298,36383371,36100947,47623018,42669930,33643460,30160000,29240000
"Total : Ohio","short tons","COAL.PRODUCTIVE_CAP.TOT-OH.A",31000565,33825038,29494187,28094573,34214205,34476994,34293191,39592627,42111293,41604725,42265506,46193452,45100055,45330256,42538469,21146669,15930609,13380493,11240488,9769477,3980301,3691409
"Total : West North Central","short tons","COAL.PRODUCTIVE_CAP.TOT-WNC.A",32876711,33007983,33350000,33662357,34269522,33746104,33686911,33508015,33537267,33520691,33552670,33351612,33043599,33270411,32847206,34775000,35248000,35491213,34681114,34521161,35200000,35250000
"Total : Kansas","short tons","COAL.PRODUCTIVE_CAP.TOT-KS.A","W","W","W","W","W","W","W","W","W","W","W","--","--",64573,209000,27000,"--","--","--","--","--","--"
"Total : Missouri","short tons","COAL.PRODUCTIVE_CAP.TOT-MO.A","W","W","W","W","W","W","W","W","W","W","W","W",443599,377838,138206,248000,248000,260000,260000,260000,100000,150000
"Total : North Dakota","short tons","COAL.PRODUCTIVE_CAP.TOT-ND.A",32300000,32400000,32600000,33000000,33500000,32900000,32900000,32900000,32900000,32900000,32900000,32900000,32600000,32828000,32500000,34500000,35000000,35231213,34421114,34261161,35100000,35100000
"Total : South Atlantic",,"COAL.PRODUCTIVE_CAP.TOT-SAT.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Maryland","short tons","COAL.PRODUCTIVE_CAP.TOT-MD.A",4873475,5361711,5658744,6170701,5702067,5891168,3105045,2998276,2592758,2981199,3682257,3281791,2838644,2710927,2857345,2628540,2474429,2248622,1975825,1745805,1660529,2501461
"Total : Virginia","short tons","COAL.PRODUCTIVE_CAP.TOT-VA.A",39926584,38993066,38006863,43102630,39631310,32499838,31083110,29023049,29168958,28522139,25566867,23016782,20205349,18508868,17426428,16060738,17533910,16538845,14195419,15532548,12366265,13339356
"Total : West Virginia","short tons","COAL.PRODUCTIVE_CAP.TOT-WV.A",203892758,197375967,183185669,183590359,203799820,203896679,199981882,211264395,198822397,178141904,164667334,149929329,134685770,138821855,122298323,114795379,130013774,121007809,116368594,98021479,103873230,111220628
"Total : East South Central",,"COAL.PRODUCTIVE_CAP.TOT-ESC.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Alabama","short tons","COAL.PRODUCTIVE_CAP.TOT-AL.A",23157642,23932201,22412693,25161428,25303652,26427773,27380695,25900713,26419165,25064261,25012702,22560940,22753555,19445029,15619860,13011736,16919847,16394741,16565704,15841295,15331340,14963841
"Total : Kentucky","short tons","COAL.PRODUCTIVE_CAP.TOT-KY.A",173852981,174858711,162024643,150803503,149524985,150532705,145844280,151621671,141145629,141119530,145092258,126663604,102614083,97860978,78518218,59570211,56803487,51996378,53344709,39307621,32054329,33682811
"Total : Mississippi","short tons","COAL.PRODUCTIVE_CAP.TOT-MS.A","W","W","W","W","W","W","W","W","W","W","W","W",8700000,8700000,8700000,8700000,8300000,3600000,3600000,3600000,3600000,3600000
"Total : Tennessee","short tons","COAL.PRODUCTIVE_CAP.TOT-TN.A",5591112,4288728,4164499,5275689,4356929,3846316,4312545,4810675,2785594,2142504,2008841,1252442,1557460,951722,1225918,908958,485872,270619,436340,184000,"--","--"
"Total : West South Central",,"COAL.PRODUCTIVE_CAP.TOT-WSC.A",,,,,,,,,,,,,,,,,,,,,,
"Total : Arkansas","short tons","COAL.PRODUCTIVE_CAP.TOT-AR.A","--","W","--","--","--","W","W","W","--","W","W","W",240000,240000,275000,275000,"--","--","--","--","--","--"
